id,lng,lat,nama_desa,curah_hujan,kemiringan,banjir_histori,claster
215,123.1251358,0.8940865,Batubantayo,2558,7,4,Tinggi
216,123.165318,0.8964744,Batutajam,2642,3,0,Sedang
217,123.1366502,0.9203082,Buko,2588,5,1,Sedang
218,123.1008937,0.9103633,Buko Selatan,3022,8,5,Tinggi
219,123.1327501,0.9213702,Buko Utara,2697,10,1,Sedang
220,123.1274686,0.8757991,Busato,2504,6,3,Tinggi
221,123.1103405,0.9028503,Dalapuli,2498,8,1,Sedang
222,123.1057031,0.9071478,Dalapuli Barat,2511,3,2,Sedang
223,123.1142117,0.8991006,Dalapuli Timur,2618,4,1,Sedang
224,123.1035262,0.8936166,Dengi,2671,1,2,Sedang
225,123.0476425,0.8791003,Duini,2640,7,3,Tinggi
226,123.0958926,0.8876956,Kayuogu,2677,6,2,Sedang
227,123.1551936,0.9275295,Komus I,2664,2,0,Sedang
228,123.1272778,0.8902523,Padango,2853,8,4,Tinggi
229,123.1220655,0.9212744,Tambulang Pantai,2549,4,3,Tinggi
230,123.0582443,0.9095261,Tambulang Timur,2737,9,2,Sedang
231,123.1381281,0.9428426,Tanjung Sidupa,2693,4,1,Sedang
232,123.1064602,0.9180999,Tombulang,2774,7,4,Tinggi
233,123.1017288,0.9045159,Tontulow,2842,5,4,Tinggi
234,123.0991088,0.9165089,Tontulow Utara,3105,3,5,Tinggi
235,123.0528483,0.8665408,Tuntung,2594,6,3,Tinggi
236,123.0647633,0.8594453,Tuntung Timur,2764,3,2,Sedang
237,123.2484701,0.9025119,Bigo,2681,75,3,Tinggi
238,123.2656848,0.9011417,Bigo Selatan,2594,2,2,Sedang
239,123.2464918,0.9036907,Boroko,3153,8,5,Tinggi
240,123.2506512,0.9099043,Boroko Timur,2677,9,3,Tinggi
241,123.2686414,0.9129773,Boroko Utara,2569,2,4,Tinggi
242,123.2702232,0.8788547,Gihang,2683,3,3,Tinggi
243,123.1996546,0.913876,Inomunga,2958,8,6,Tinggi
244,123.1991956,0.9315961,Inomunga Utara,2732,7,2,Sedang
245,123.2284061,0.9056832,Komus II Timur,2684,9,0,Sedang
246,123.1639056,0.9119767,Komus II,2749,7,0,Sedang
247,123.2615798,0.9080643,Kuala,2843,0,4,Tinggi
248,123.2600172,0.9009579,Kuala Utara,2759,2,3,Tinggi
249,123.271289,0.8681385,Pontak,2638,2,3,Tinggi
250,123.1187518,0.8461684,Soligir,2648,2,2,Sedang
251,123.1787332,0.9416426,Solo,2594,6,3,Tinggi
252,123.3009496,0.9038044,Bolangitang,3174,4,4,Tinggi
253,123.2995221,0.9080314,Bolangitang I,2738,2,3,Tinggi
254,123.2882971,0.9084274,Bolangitang II,2833,2,4,Tinggi
255,123.2870971,0.9007646,Iyok,2774,4,2,Sedang
256,123.2635361,0.8869446,Jambu Sarang,2697,2,4,Tinggi
257,123.3243915,0.8665984,Keimanga,2816,3,3,Tinggi
258,123.2983593,0.8991609,Langi,2973,3,2,Sedang
259,122.9621193,0.7928829,Ollot,2851,2,4,Tinggi
260,123.2731421,0.8723041,Ollot I,2796,2,3,Tinggi
261,123.0226938,0.7800652,Olllot II,2868,2,3,Tinggi
262,123.3194606,0.8587119,Paku,2677,7,2,Sedang
263,122.9833958,0.7775217,Paku Selatan,2784,5,2,Sedang
264,123.2701102,0.8789711,Sonuo,2982,4,4,Tinggi
265,123.2929156,0.9049228,Talaga,2771,2,3,Tinggi
266,123.2562267,0.8899956,Talaga Tomoagu,2675,2,3,Tinggi
267,123.3323268,0.9095774,Tanjung Buaya,2663,7,2,Sedang
268,123.2598784,0.8956402,Tote,2845,6,2,Sedang
269,123.0465348,0.7818581,Wakat,3097,8,4,Tinggi
270,123.1450408,0.7611374,Binjeita,2857,4,3,Tinggi
271,123.1351108,0.7606619,Binjeita I,2774,3,3,Tinggi
272,123.4525148,0.8885914,Binjeita II,2741,2,2,Sedang
273,123.0915928,0.7726113,Binuanga,2589,8,1,Sedang
274,123.4854829,0.882902,Binuni,2693,6,2,Sedang
275,123.1587704,0.7577284,Biontong,2847,2,3,Tinggi
276,123.1855262,0.7873105,Biontong I,2849,3,4,Tinggi
277,123.1730483,0.7530341,Biontong II,2791,2,2,Sedang
278,123.1208733,0.761598,Bohabak I,2589,2,2,Sedang
279,123.4101856,0.8925571,Bohabak II,2697,2,3,Tinggi
280,123.4199192,0.8764826,Bohabak III,2577,3,2,Sedang
281,123.1092923,0.7672229,Bohabak IV,2638,4,2,Sedang
282,123.4963053,0.8804917,Lipu Bogu,2638,4,4,Tinggi
283,123.3348136,0.9002765,Moditek,1967,7,1,Rendah
284,123.299622,0.8706228,Mokoditek I,2088,6,1,Rendah
285,123.3721955,0.8876845,Nagara,2382,5,1,Sedang
286,123.2295368,0.8663548,Nunuka,2101,5,3,Rendah
287,123.0659497,0.7695688,Saleo,2470,5,2,Sedang
288,123.4099003,0.7837536,Saleo I,2734,4,2,Sedang
289,123.4410907,0.9040152,Tanjung Labuo,2033,2,2,Rendah
290,123.5399762,0.8854939,Batulintik,2673,2,4,Tinggi
